Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
57        	60        	1         	b    	-40.9953063220	1.5702e-18    	0   	6.4189	0   	6.4189	8   	8   	8   	8   
58        	60        	1         	b    	-40.9953063220	1.5702e-18    	0   	6.4189	0   	6.4189	8   	8   	8   	8   
61        	62        	1         	b    	-4.9631917210 	0.0069906     	0   	1000	0   	1000	1   	1   	1   	1   
61        	78        	1         	b    	-12.8942610800	2.5124e-06    	0   	30.663	0   	30.663	2   	2   	2   	2   
62        	78        	1         	b    	-12.8942610800	2.5124e-06    	0   	30.663	0   	30.663	2   	2   	2   	2   
44        	63        	1         	b    	-94.2247882001	1.1987e-41    	4.6557	14.009	4.6557	14.009	14  	14  	14  	14  
63        	64        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
63        	65        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
63        	66        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
63        	67        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
63        	80        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
63        	81        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
63        	82        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
44        	64        	1         	b    	-94.2247882001	1.1987e-41    	4.6557	14.009	4.6557	14.009	14  	14  	14  	14  
64        	65        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
64        	66        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
64        	67        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
64        	80        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
64        	81        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
64        	82        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
44        	65        	1         	b    	-94.2247882001	1.1987e-41    	4.6557	14.009	4.6557	14.009	14  	14  	14  	14  
65        	66        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
65        	67        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
65        	80        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
65        	81        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
65        	82        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
44        	66        	1         	b    	-94.2247882001	1.1987e-41    	4.6557	14.009	4.6557	14.009	14  	14  	14  	14  
66        	67        	1         	b    	-51.1561307673	6.0698e-23    	0   	1000	0   	1000	14  	14  	14  	14  
66        	80        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
66        	81        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
66        	82        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
44        	67        	1         	b    	-94.2247882001	1.1987e-41    	4.6557	14.009	4.6557	14.009	14  	14  	14  	14  
67        	80        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
67        	81        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
67        	82        	1         	b    	-56.7938754959	2.1614e-25    	13.011	1000	13.011	1000	2   	2   	2   	2   
68        	69        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	70        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	71        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	72        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	73        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	74        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	75        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	76        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
68        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
69        	70        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
69        	71        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
69        	72        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
69        	73        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
69        	74        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
69        	75        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
69        	76        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
69        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
69        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
70        	71        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
70        	72        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
70        	73        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
70        	74        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
70        	75        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
70        	76        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
70        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
70        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
71        	72        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
71        	73        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
71        	74        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
71        	75        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
71        	76        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
71        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
71        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
72        	73        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
72        	74        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
72        	75        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
72        	76        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
72        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
72        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
73        	74        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
73        	75        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
73        	76        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
73        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
73        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
74        	75        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
74        	76        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
74        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
74        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
75        	76        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
75        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
75        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
76        	77        	1         	b    	-11.7963729103	7.5318e-06    	0   	1000	0   	1000	2   	2   	2   	2   
76        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
77        	78        	1         	b    	-16.0858102338	1.0328e-07    	0   	52.615	0   	52.615	2   	2   	2   	2   
79        	80        	1         	b    	-11.4706914014	1.0431e-05    	0   	180.51	0   	180.51	2   	2   	2   	2   
79        	81        	1         	b    	-11.4706914014	1.0431e-05    	0   	180.51	0   	180.51	2   	2   	2   	2   
79        	82        	1         	b    	-11.4706914014	1.0431e-05    	0   	180.51	0   	180.51	2   	2   	2   	2   
79        	83        	1         	b    	-5.8596533857 	0.0028522     	0   	1000	0   	1000	1   	1   	1   	1   
79        	84        	1         	b    	-5.8596533857 	0.0028522     	0   	1000	0   	1000	1   	1   	1   	1   
80        	81        	1         	b    	-10.3162448085	3.3091e-05    	0   	1000	0   	1000	2   	2   	2   	2   
80        	82        	1         	b    	-10.3162448085	3.3091e-05    	0   	1000	0   	1000	2   	2   	2   	2   
80        	83        	1         	b    	-11.5822701258	9.3301e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
80        	84        	1         	b    	-11.5822701258	9.3301e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
80        	103       	1         	b    	-11.5803690145	9.3478e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
81        	82        	1         	b    	-10.3162448085	3.3091e-05    	0   	1000	0   	1000	2   	2   	2   	2   
81        	83        	1         	b    	-11.5822701258	9.3301e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
81        	84        	1         	b    	-11.5822701258	9.3301e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
81        	103       	1         	b    	-11.5803690145	9.3478e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
82        	83        	1         	b    	-11.5822701258	9.3301e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
82        	84        	1         	b    	-11.5822701258	9.3301e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
82        	103       	1         	b    	-11.5803690145	9.3478e-06    	1.0009	1000	1.0009	1000	1   	1   	1   	1   
83        	84        	1         	b    	-5.8596533857 	0.0028522     	0   	1000	0   	1000	1   	1   	1   	1   
85        	86        	1         	b    	-73.6066049552	1.0791e-32    	11.024	1000	11.024	1000	5   	5   	5   	5   
85        	87        	1         	b    	-73.6066049552	1.0791e-32    	11.024	1000	11.024	1000	5   	5   	5   	5   
85        	88        	1         	b    	-64.4796523207	9.9276e-29    	0   	1000	0   	1000	14  	14  	14  	14  
26        	86        	1         	b    	-27.2294332186	1.4942e-12    	0   	9.8955	0   	9.8955	5   	5   	5   	5   
27        	86        	1         	b    	-27.2294332186	1.4942e-12    	0   	9.8955	0   	9.8955	5   	5   	5   	5   
28        	86        	1         	b    	-27.2294332186	1.4942e-12    	0   	9.8955	0   	9.8955	5   	5   	5   	5   
86        	87        	1         	b    	-24.9465598456	1.465e-11     	0   	1000	0   	1000	5   	5   	5   	5   
