Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
63        	80        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
63        	81        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
63        	82        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
44        	64        	1         	a    	-94.8923185701	6.1488e-42    	12  	12  	12  	12  	14.085	0   	14.085	0   
64        	65        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
64        	66        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
64        	67        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
64        	80        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
64        	81        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
64        	82        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
44        	65        	1         	a    	-94.8923185701	6.1488e-42    	12  	12  	12  	12  	14.085	0   	14.085	0   
65        	66        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
65        	67        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
65        	80        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
65        	81        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
65        	82        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
44        	66        	1         	a    	-94.8923185701	6.1488e-42    	12  	12  	12  	12  	14.085	0   	14.085	0   
66        	67        	1         	a    	-51.1561307673	6.0698e-23    	14  	14  	14  	14  	0   	1000	0   	1000
66        	80        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
66        	81        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
66        	82        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
44        	67        	1         	a    	-94.8923185701	6.1488e-42    	12  	12  	12  	12  	14.085	0   	14.085	0   
67        	80        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
67        	81        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
67        	82        	1         	a    	-58.4433150028	4.1533e-26    	14  	14  	14  	14  	10.557	1.1046	10.557	1.1046
68        	69        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	70        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	71        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	72        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	73        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	74        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	75        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	76        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
68        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
69        	70        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
69        	71        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
69        	72        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
69        	73        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
69        	74        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
69        	75        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
69        	76        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
69        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
69        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
70        	71        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
70        	72        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
70        	73        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
70        	74        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
70        	75        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
70        	76        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
70        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
70        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
71        	72        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
71        	73        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
71        	74        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
71        	75        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
71        	76        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
71        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
71        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
72        	73        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
72        	74        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
72        	75        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
72        	76        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
72        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
72        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
73        	74        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
73        	75        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
73        	76        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
73        	77        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
73        	78        	1         	a    	-16.6248808407	6.0243e-08    	2   	2   	2   	2   	1.0005	1000	1.0005	1000
74        	75        	1         	a    	-11.7963729103	7.5318e-06    	2   	2   	2   	2   	0   	1000	0   	1000
