Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
106       	108       	1         	B    	-66.5752615149	1.221e-29     	0   	1000	0   	1000	18.117	18.117	5.8126	5.8126
106       	109       	1         	B    	-71.0577696513	1.3804e-31    	0.705	1000	2.5689	1000	16.766	16.766	6.0607	6.0607
106       	110       	1         	B    	-66.5752615149	1.221e-29     	0   	1000	0   	1000	18.117	18.117	5.8126	5.8126
106       	111       	1         	B    	-66.5752615149	1.221e-29     	0   	1000	0   	1000	18.117	18.117	5.8126	5.8126
89        	107       	1         	B    	-77.6250938101	1.9402e-34    	2.4965	14.953	0   	0   	16.708	16.708	6.1695	6.1695
90        	107       	1         	B    	-77.6250938101	1.9402e-34    	2.4965	14.953	0   	0   	16.708	16.708	6.1695	6.1695
91        	107       	1         	B    	-77.6250938101	1.9402e-34    	2.4965	14.953	0   	0   	16.708	16.708	6.1695	6.1695
92        	107       	1         	B    	-77.6250938101	1.9402e-34    	2.4965	14.953	0   	0   	16.708	16.708	6.1695	6.1695
95        	107       	1         	B    	-76.4420061074	6.3337e-34    	2.5506	14.842	0   	0   	16.721	16.721	6.1457	6.1457
96        	107       	1         	B    	-96.5826702209	1.1342e-42    	4.4386	0   	10.529	0   	16.734	16.734	6.1207	6.1207
99        	107       	1         	B    	-96.5826702209	1.1342e-42    	4.4386	0   	10.529	0   	16.734	16.734	6.1207	6.1207
100       	107       	1         	B    	-76.4420061074	6.3337e-34    	2.5506	14.842	0   	0   	16.721	16.721	6.1457	6.1457
101       	107       	1         	B    	-76.4420061074	6.3337e-34    	2.5506	14.842	0   	0   	16.721	16.721	6.1457	6.1457
102       	107       	1         	B    	-96.5826702209	1.1342e-42    	4.4386	0   	10.529	0   	16.734	16.734	6.1207	6.1207
107       	108       	1         	B    	-71.9033951355	5.9259e-32    	0   	1000	0   	1000	18.073	18.073	5.8807	5.8807
107       	109       	1         	B    	-64.0229590877	1.5674e-28    	0   	1000	0   	1000	16.769	16.769	6.0556	6.0556
107       	110       	1         	B    	-71.9033951355	5.9259e-32    	0   	1000	0   	1000	18.073	18.073	5.8807	5.8807
107       	111       	1         	B    	-71.9033951355	5.9259e-32    	0   	1000	0   	1000	18.073	18.073	5.8807	5.8807
89        	108       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
90        	108       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
91        	108       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
92        	108       	1         	B    	-80.0489265298	1.7187e-35    	2.517	14.266	0   	0   	18.042	18.042	5.9304	5.9304
95        	108       	1         	B    	-78.8638593702	5.6216e-35    	2.5721	14.165	0   	0   	18.056	18.056	5.9086	5.9086
96        	108       	1         	B    	-98.9267141369	1.0881e-43    	4.4385	0   	10.529	0   	18.07	18.07	5.8856	5.8856
