Event1    	Event2    	Tree      	Model	lnML          	ML            	mu1 	mu1star	nu1 	nu1star	mu2 	mu2star	nu2 	nu2star
59        	118       	1         	A    	-172.6865074434	1.0074e-75    	10.353	10.353	19.712	19.712	3.3266	9.7032	23.081	67.323
4         	60        	1         	A    	-38.1544144807	2.69e-17      	1.0319	1.0319	0   	0   	8.4336	1000	0   	0   
21        	60        	1         	A    	-38.1544144807	2.69e-17      	1.0319	1.0319	0   	0   	8.4336	1000	0   	0   
57        	60        	1         	A    	-38.2072526406	2.5515e-17    	1.0168	1.0168	0   	0   	8.4333	1000	0   	0   
58        	60        	1         	A    	-38.2072526406	2.5515e-17    	1.0168	1.0168	0   	0   	8.4333	1000	0   	0   
61        	62        	1         	A    	-4.9143730586 	0.0073403     	1.05	1.05	0   	0   	0   	1000	0   	0   
61        	78        	1         	A    	-12.0138024587	6.06e-06      	1.0501	1.0501	0   	0   	1.0803	1000	0   	0   
62        	78        	1         	A    	-12.0138024587	6.06e-06      	1.0501	1.0501	0   	0   	1.0803	1000	0   	0   
44        	63        	1         	A    	-94.1595636560	1.2794e-41    	13.351	13.351	5.6798	5.6798	9.7849	0   	16.003	0   
63        	64        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
63        	65        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
63        	66        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
63        	67        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
63        	80        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
63        	81        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
63        	82        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
44        	64        	1         	A    	-94.1595636560	1.2794e-41    	13.351	13.351	5.6798	5.6798	9.7849	0   	16.003	0   
64        	65        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
64        	66        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
64        	67        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
64        	80        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
64        	81        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
64        	82        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
44        	65        	1         	A    	-94.1595636560	1.2794e-41    	13.351	13.351	5.6798	5.6798	9.7849	0   	16.003	0   
65        	66        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
65        	67        	1         	A    	-48.5924301481	7.8809e-22    	9.5148	9.5148	16.065	16.065	0   	1000	0   	1000
65        	80        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
65        	81        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
65        	82        	1         	A    	-57.9616209934	6.7234e-26    	9.3973	9.3973	16.158	16.158	11.686	1.1047	0   	0   
44        	66        	1         	A    	-94.1595636560	1.2794e-41    	13.351	13.351	5.6798	5.6798	9.7849	0   	16.003	0   
