Event1	Event2	Model1	Model2	LRT	Pvalue	combinedModels	df
11	46	I	L	23.2145293114	9.1e-06	IL	2
11	46	A	L	0.680964572400001	0.4093	AL	1
11	46	B	L	7.0416477106	0.007964	BL	1
11	47	i	a	4.68340503360001	0.03046	ia	1
11	47	i	b	10.7445371532	0.001046	ib	1
11	47	i	l	10.9469111772	0.004197	il	2
11	47	i	I	0.563589689200001	0.7544	iI	2
11	47	a	l	6.2635061436	0.01233	al	1
11	47	a	A	0.565574418799997	0.7537	aA	2
11	47	b	l	0.202374024000008	0.6528	bl	1
11	47	b	B	0.879943909200009	0.6441	bB	2
11	47	l	L	0.879640205199991	0.6442	lL	2
11	47	I	A	4.68538976320001	0.03042	IA	1
11	47	I	B	11.0608913732	0.0008817	IB	1
11	47	I	L	11.2629616932	0.003583	IL	2
11	47	A	L	6.57757192999999	0.01033	AL	1
11	47	B	L	0.20207031999999	0.6531	BL	1
12	13	i	a	0.427938833799999	0.513	ia	1
12	13	i	b	7.6378963786	0.005715	ib	1
12	13	i	l	8.0658352122	0.01772	il	2
12	13	i	I	0.940643643000016	0.6248	iI	2
12	13	a	l	7.6378963784	0.005715	al	1
12	13	a	A	1.78205559580002	0.4102	aA	2
12	13	b	l	0.427938833599995	0.513	bl	1
12	13	b	B	2.35127138820002	0.3086	bB	2
12	13	l	L	1.99151743840002	0.3694	lL	2
12	13	I	A	1.2693507866	0.2599	IA	1
12	13	I	B	9.04852412380001	0.002629	IB	1
12	13	I	L	9.11670900760001	0.01048	IL	2
12	13	A	L	7.84735822100001	0.00509	AL	1
12	13	B	L	0.0681848838000008	0.794	BL	1
12	15	i	a	2.28000388699999	0.1311	ia	1
12	15	i	b	7.5454829208	0.006016	ib	1
12	15	i	l	9.82548680760002	0.007352	il	2
12	15	i	I	4.21085782980001	0.1218	iI	2
12	15	a	l	7.54548292060002	0.006016	al	1
12	15	a	A	2.35534282500001	0.308	aA	2
12	15	b	l	2.28000388680002	0.1311	bl	1
12	15	b	B	5.40560808060002	0.06702	bB	2
12	15	l	L	3.281245219	0.1939	lL	2
12	15	I	A	0.424488882199995	0.5147	IA	1
12	15	I	B	8.74023317160001	0.003113	IB	1
12	15	I	L	8.89587419680001	0.0117	IL	2
12	15	A	L	8.47138531460001	0.003608	AL	1
12	15	B	L	0.155641025199998	0.6932	BL	1
12	43	i	a	1.69710631939998	0.1927	ia	1
12	43	i	b	7.6378963786	0.005715	ib	1
12	43	i	l	9.33500269799998	0.009396	il	2
12	43	i	I	1.53661253319999	0.4638	iI	2
12	43	a	l	7.6378963786	0.005715	al	1
12	43	a	A	0.583136235800026	0.7471	aA	2
12	43	b	l	1.69710631939998	0.1927	bl	1
12	43	b	B	2.9150048498	0.2328	bB	2
12	43	l	L	1.95542180940001	0.3762	lL	2
12	43	I	A	0.743630022000019	0.3885	IA	1
12	43	I	B	9.01628869520002	0.002676	IB	1
12	43	I	L	9.7538119742	0.007621	IL	2
12	43	A	L	9.01018195219999	0.002685	AL	1
12	43	B	L	0.737523278999987	0.3905	BL	1
12	63	i	a	11.0950514086	0.0008656	ia	1
12	63	i	b	7.26961950499998	0.007013	ib	1
12	63	i	l	11.6369391804	0.002972	il	2
12	63	i	I	1.26634805379999	0.5309	iI	2
12	63	a	l	0.541887771799992	0.4617	al	1
12	63	a	A	0.549475680399979	0.7598	aA	2
12	63	b	l	4.36731967540001	0.03663	bl	1
12	63	b	B	0.738041132600017	0.6914	bB	2
12	63	l	L	0.795678551999998	0.6718	lL	2
12	63	I	A	10.3781790352	0.001275	IA	1
12	63	I	B	6.74131258380001	0.009421	IB	1
12	63	I	L	11.1662696786	0.003761	IL	2
12	63	A	L	0.788090643400011	0.3747	AL	1
12	63	B	L	4.42495709479999	0.03542	BL	1
12	64	i	a	11.0950514086	0.0008656	ia	1
12	64	i	b	7.26961950499998	0.007013	ib	1
12	64	i	l	11.6369391804	0.002972	il	2
12	64	i	I	1.26634805379999	0.5309	iI	2
12	64	a	l	0.541887771799992	0.4617	al	1
12	64	a	A	0.549475680399979	0.7598	aA	2
12	64	b	l	4.36731967540001	0.03663	bl	1
12	64	b	B	0.738041132600017	0.6914	bB	2
12	64	l	L	0.795678551999998	0.6718	lL	2
12	64	I	A	10.3781790352	0.001275	IA	1
12	64	I	B	6.74131258380001	0.009421	IB	1
12	64	I	L	11.1662696786	0.003761	IL	2
12	64	A	L	0.788090643400011	0.3747	AL	1
12	64	B	L	4.42495709479999	0.03542	BL	1
12	65	i	a	11.0950514086	0.0008656	ia	1
12	65	i	b	7.26961950499998	0.007013	ib	1
12	65	i	l	11.6369391804	0.002972	il	2
12	65	i	I	1.26634805379999	0.5309	iI	2
12	65	a	l	0.541887771799992	0.4617	al	1
12	65	a	A	0.549475680399979	0.7598	aA	2
12	65	b	l	4.36731967540001	0.03663	bl	1
12	65	b	B	0.738041132600017	0.6914	bB	2
12	65	l	L	0.795678551999998	0.6718	lL	2
12	65	I	A	10.3781790352	0.001275	IA	1
12	65	I	B	6.74131258380001	0.009421	IB	1
12	65	I	L	11.1662696786	0.003761	IL	2
12	65	A	L	0.788090643400011	0.3747	AL	1
12	65	B	L	4.42495709479999	0.03542	BL	1
12	66	i	a	11.0950514086	0.0008656	ia	1
12	66	i	b	7.26961950499998	0.007013	ib	1
12	66	i	l	11.6369391804	0.002972	il	2
12	66	i	I	1.26634805379999	0.5309	iI	2
12	66	a	l	0.541887771799992	0.4617	al	1
12	66	a	A	0.549475680399979	0.7598	aA	2
12	66	b	l	4.36731967540001	0.03663	bl	1
12	66	b	B	0.738041132600017	0.6914	bB	2
12	66	l	L	0.795678551999998	0.6718	lL	2
12	66	I	A	10.3781790352	0.001275	IA	1
12	66	I	B	6.74131258380001	0.009421	IB	1
12	66	I	L	11.1662696786	0.003761	IL	2
12	66	A	L	0.788090643400011	0.3747	AL	1
